"","id","name.wikitag","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"BY.22","/wiki/Inge_Aures-by-17","/wiki/Inge_Aures","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2013-10-07,2018-11-04,"by",17
"BY.23","/wiki/Peter_Meyer_(Politiker,_1963)-by-17","/wiki/Peter_Meyer_(Politiker,_1963)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2013-10-07,2018-11-04,"by",17
"BY.24","/wiki/Ulrike_Gote-by-17","/wiki/Ulrike_Gote","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2013-10-07,2018-11-04,"by",17
"HB.1","/wiki/Dieter_Klink-hb-12","/wiki/Dieter_Klink","Landtagspräsident/in","Landtagspräsident/in",1987-10-14,1991-11-05,"hb",12
"HB.2","/wiki/Anneliese_Leinemann-hb-12","/wiki/Anneliese_Leinemann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1987-10-14,1991-11-05,"hb",12
"HB.3","/wiki/Wedige_von_der_Schulenburg_(Politiker)-hb-12","/wiki/Wedige_von_der_Schulenburg_(Politiker)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1987-10-14,1991-11-05,"hb",12
"HB.4","/wiki/Dieter_Klink-hb-13","/wiki/Dieter_Klink","Landtagspräsident/in","Landtagspräsident/in",1991-11-06,1995-07-04,"hb",13
"HB.5","/wiki/Ulrich_N%C3%B6lle-hb-13","/wiki/Ulrich_N%C3%B6lle","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hb",13
"HB.6","/wiki/Christa_Bernbacher-hb-13","/wiki/Christa_Bernbacher","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hb",13
"HB.7","/wiki/Reinhard_Metz_(Politiker)-hb-14","/wiki/Reinhard_Metz_(Politiker)","Landtagspräsident/in","Landtagspräsident/in",1995-07-05,1999-07-06,"hb",14
"HB.8","/wiki/Claus_Dittbrenner-hb-14","/wiki/Claus_Dittbrenner","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1995-07-05,1999-07-06,"hb",14
"HB.9","/wiki/Hermann_Kuhn_(Politiker)-hb-14","/wiki/Hermann_Kuhn_(Politiker)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1995-07-05,1999-07-06,"hb",14
"HB.10","/wiki/Christian_Weber_(Politiker,_1946)-hb-15","/wiki/Christian_Weber_(Politiker,_1946)","Landtagspräsident/in","Landtagspräsident/in",1999-07-07,2003-07-02,"hb",15
"HB.11","/wiki/Hermann_Kuhn_(Politiker)-hb-15","/wiki/Hermann_Kuhn_(Politiker)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hb",15
