id,name.wikitag,ministry,ministry.clean,position,position.clean,cabinet,party,economy,environment,education,infrastructure,health,justice,agriculture,culture_leisure,technology,regional,family,migration,genderequality,social,international,interior,state_chancellery,start.date,end.date,landtag.state.abb,electoralperiod
/wiki/Hartmut_Perschau-hb-16,/wiki/Hartmut_Perschau,Kultur,kultur,Senator/in,Minister/in,Scherf III,CDU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2003-07-04,2004-07-13,hb,16
/wiki/Thomas_R%C3%B6wekamp-hb-16,/wiki/Thomas_R%C3%B6wekamp,Kultur,kultur,Senator/in,Minister/in,Scherf III,CDU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2004-07-14,2004-09-08,hb,16
/wiki/Peter_Gloystein-hb-16,/wiki/Peter_Gloystein,Kultur,kultur,Senator/in,Minister/in,Scherf III,CDU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2004-09-09,2005-05-12,hb,16
/wiki/J%C3%B6rg_Kastendiek-hb-16,/wiki/J%C3%B6rg_Kastendiek,Kultur,kultur,Senator/in,Minister/in,Scherf III,CDU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2005-05-13,2005-11-07,hb,16
/wiki/Karin_R%C3%B6pke-hb-16,/wiki/Karin_R%C3%B6pke,"Arbeit, Frauen, Gesundheit, Jugend und Soziales",arbeit frauen gesundheit jugend soziales,Senator/in,Minister/in,Scherf III,SPD,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2003-07-04,2005-11-07,hb,16
/wiki/Kerstin_Kie%C3%9Fler-hb-16,/wiki/Kerstin_Kie%C3%9Fler,Bevollmächtigte beim Bund,bevollmächtigte bund,Senator/in,Minister/in,Scherf III,SPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2003-07-04,2005-11-07,hb,16
/wiki/Jens_B%C3%B6hrnsen-hb-16,/wiki/Jens_B%C3%B6hrnsen,Staatskanzlei,staatskanzlei,Präsident/in des Senats und Bürgermeister/in,Regierungsoberhaupt,Böhrnsen I,SPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2005-11-08,2007-06-28,hb,16
/wiki/Jens_B%C3%B6hrnsen-hb-16,/wiki/Jens_B%C3%B6hrnsen,Justiz und Verfassung,justiz verfassung,Senator/in,Minister/in,Böhrnsen I,SPD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2005-11-08,2007-06-28,hb,16
/wiki/Thomas_R%C3%B6wekamp-hb-16,/wiki/Thomas_R%C3%B6wekamp,Staatskanzlei,staatskanzlei,Stellvertretende/r Präsident/in des Senats und Bürgermeister/in,Stellvertretendes Regierungsoberhaupt,Böhrnsen I,CDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2005-11-08,2007-06-28,hb,16
/wiki/Thomas_R%C3%B6wekamp-hb-16,/wiki/Thomas_R%C3%B6wekamp,Senator für Inneres und Sport,inneres sport,Senator/in,Minister/in,Böhrnsen I,CDU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2005-11-08,2007-06-28,hb,16
/wiki/Ulrich_Nu%C3%9Fbaum-hb-16,/wiki/Ulrich_Nu%C3%9Fbaum,Senator für Finanzen,finanzen,Senator/in,Minister/in,Böhrnsen I,parteilos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-08,2007-06-28,hb,16
/wiki/J%C3%B6rg_Kastendiek-hb-16,/wiki/J%C3%B6rg_Kastendiek,Senator für Wirtschaft und Häfen,wirtschaft häfen,Senator/in,Minister/in,Böhrnsen I,CDU,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-08,2007-06-28,hb,16
/wiki/J%C3%B6rg_Kastendiek-hb-16,/wiki/J%C3%B6rg_Kastendiek,Senator für Kultur,kultur,Senator/in,Minister/in,Böhrnsen I,CDU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2005-11-08,2007-06-28,hb,16
/wiki/Willi_Lemke-hb-16,/wiki/Willi_Lemke,Senator für Bildung und Wissenschaft,bildung wissenschaft,Senator/in,Minister/in,Böhrnsen I,SPD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-08,2007-06-28,hb,16
/wiki/Karin_R%C3%B6pke-hb-16,/wiki/Karin_R%C3%B6pke,"Senatorin für Arbeit, Frauen, Gesundheit, Jugend und Soziales",arbeit frauen gesundheit jugend soziales,Senator/in,Minister/in,Böhrnsen I,SPD,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2005-11-08,2007-06-28,hb,16
/wiki/Willi_Lemke-hb-16,/wiki/Willi_Lemke,"Senatorin für Arbeit, Frauen, Gesundheit, Jugend und Soziales",arbeit frauen gesundheit jugend soziales,Senator/in,Minister/in,Böhrnsen I,SPD,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2006-10-12,2007-06-28,hb,16
/wiki/Ingelore_Rosenk%C3%B6tter-hb-16,/wiki/Ingelore_Rosenk%C3%B6tter,"Senatorin für Arbeit, Frauen, Gesundheit, Jugend und Soziales",arbeit frauen gesundheit jugend soziales,Senator/in,Minister/in,Böhrnsen I,SPD,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2006-11-03,2007-06-28,hb,16
/wiki/Jens_Eckhoff_(Politiker)-hb-16,/wiki/Jens_Eckhoff_(Politiker),"Senator für Bau, Umwelt und Verkehr",bau umwelt verkehr,Senator/in,Minister/in,Böhrnsen I,CDU,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-08,2007-06-28,hb,16
/wiki/Ronald-Mike_Neumeyer-hb-16,/wiki/Ronald-Mike_Neumeyer,"Senator für Bau, Umwelt und Verkehr",bau umwelt verkehr,Senator/in,Minister/in,Böhrnsen I,CDU,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-02-23,2007-06-28,hb,16
/wiki/Kerstin_Kie%C3%9Fler-hb-16,/wiki/Kerstin_Kie%C3%9Fler,Bevollmächtigte beim Bund,bevollmächtigte bund,Senator/in,Minister/in,Böhrnsen I,SPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2005-11-08,2007-06-28,hb,16
/wiki/Jens_B%C3%B6hrnsen-hb-17,/wiki/Jens_B%C3%B6hrnsen,Staatskanzlei,staatskanzlei,Präsident/in des Senats und Bürgermeister/in,Regierungsoberhaupt,Böhrnsen II,SPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2007-06-29,2011-06-29,hb,17
/wiki/Jens_B%C3%B6hrnsen-hb-17,/wiki/Jens_B%C3%B6hrnsen,Kultur,kultur,Senator/in,Minister/in,Böhrnsen II,SPD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2007-06-29,2011-06-29,hb,17
/wiki/Karoline_Linnert-hb-17,/wiki/Karoline_Linnert,Staatskanzlei,staatskanzlei,Stellvertretende/r Präsident/in des Senats und Bürgermeister/in,Stellvertretendes Regierungsoberhaupt,Böhrnsen II,GRÜNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2007-06-29,2011-06-29,hb,17
