"","id","name.wikitag","fraction","fraction.id","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"BY.105","/wiki/Gudrun_Brendel-Fischer-by-17","/wiki/Gudrun_Brendel-Fischer","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2018-04-10,"by",17
"BY.106","/wiki/Alexander_K%C3%B6nig_(Politiker)-by-17","/wiki/Alexander_K%C3%B6nig_(Politiker)","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2018-04-11,2018-09-27,"by",17
"BY.107","/wiki/Josef_Zellmeier-by-17","/wiki/Josef_Zellmeier","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2018-04-10,"by",17
"BY.108","/wiki/Tobias_Rei%C3%9F-by-17","/wiki/Tobias_Rei%C3%9F","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2018-04-11,2018-09-27,"by",17
"BY.109","/wiki/Kerstin_Schreyer-by-17","/wiki/Kerstin_Schreyer","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2017-02-28,"by",17
"BY.110","/wiki/Ingrid_Heckner-by-17","/wiki/Ingrid_Heckner","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2017-03-01,2018-09-27,"by",17
"BY.111","/wiki/Markus_Rinderspacher-by-17","/wiki/Markus_Rinderspacher","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",2013-10-07,2018-09-27,"by",17
"BY.112","/wiki/Helga_Schmitt-Bussinger-by-17","/wiki/Helga_Schmitt-Bussinger","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2016-05-10,"by",17
"BY.113","/wiki/Margit_Wild-by-17","/wiki/Margit_Wild","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2016-05-11,2018-09-27,"by",17
"BY.114","/wiki/Hans-Ulrich_Pfaffmann-by-17","/wiki/Hans-Ulrich_Pfaffmann","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2017-07-12,"by",17
